LOAD_DATE,YEAR,DATASET,SUBJECT,VARIABLE_BASE,GEO_ID,VALUE_E,VALUE_PE,STATE,COUNTY,LABEL_CATEGORY,LABEL_VALUE,LABEL_CONCEPT
2021-08-24 05:39:13.623,2011,ACS1,DP05,DP05_0060,0500000US06025,6985,,California,Imperial County,RACE,Black or African American,RACE
2021-08-24 05:39:20.969,2011,ACS1,DP05,DP05_0063,0500000US06025,0,,California,Imperial County,RACE,Native Hawaiian and Other Pacific Islander,RACE
2021-08-24 05:39:22.858,2011,ACS1,DP05,DP05_0064,0500000US06025,42790,,California,Imperial County,RACE,Some other race,RACE
2021-08-24 05:39:10.656,2011,ACS1,DP05,DP05_0059,0500000US06025,124184,,California,Imperial County,RACE,White,RACE
2021-08-24 05:39:15.350,2011,ACS1,DP05,DP05_0061,0500000US06029,21523,,California,Kern County,RACE,American Indian and Alaska Native,RACE
2021-08-24 05:39:18.440,2011,ACS1,DP05,DP05_0062,0500000US06029,43472,,California,Kern County,RACE,Asian,RACE
2021-08-24 05:39:13.623,2011,ACS1,DP05,DP05_0060,0500000US06029,56440,,California,Kern County,RACE,Black or African American,RACE
2021-08-24 05:39:20.969,2011,ACS1,DP05,DP05_0063,0500000US06029,3538,,California,Kern County,RACE,Native Hawaiian and Other Pacific Islander,RACE
2021-08-24 05:39:22.858,2011,ACS1,DP05,DP05_0064,0500000US06029,89589,,California,Kern County,RACE,Some other race,RACE
2021-08-24 05:39:10.656,2011,ACS1,DP05,DP05_0059,0500000US06029,668725,,California,Kern County,RACE,White,RACE
2021-08-24 05:39:15.350,2011,ACS1,DP05,DP05_0061,0500000US06031,4584,,California,Kings County,RACE,American Indian and Alaska Native,RACE
2021-08-24 05:39:18.440,2011,ACS1,DP05,DP05_0062,0500000US06031,7496,,California,Kings County,RACE,Asian,RACE
2021-08-24 05:39:13.623,2011,ACS1,DP05,DP05_0060,0500000US06031,11547,,California,Kings County,RACE,Black or African American,RACE
2021-08-24 05:39:20.969,2011,ACS1,DP05,DP05_0063,0500000US06031,0,,California,Kings County,RACE,Native Hawaiian and Other Pacific Islander,RACE
2021-08-24 05:39:22.858,2011,ACS1,DP05,DP05_0064,0500000US06031,15718,,California,Kings County,RACE,Some other race,RACE
2021-08-24 05:39:10.656,2011,ACS1,DP05,DP05_0059,0500000US06031,120503,,California,Kings County,RACE,White,RACE
2021-08-24 05:39:15.350,2011,ACS1,DP05,DP05_0061,0500000US06033,4535,,California,Lake County,RACE,American Indian and Alaska Native,RACE
2021-08-24 05:39:18.440,2011,ACS1,DP05,DP05_0062,0500000US06033,1224,,California,Lake County,RACE,Asian,RACE
2021-08-24 05:39:13.623,2011,ACS1,DP05,DP05_0060,0500000US06033,1412,,California,Lake County,RACE,Black or African American,RACE
2021-08-24 05:39:20.969,2011,ACS1,DP05,DP05_0063,0500000US06033,325,,California,Lake County,RACE,Native Hawaiian and Other Pacific Islander,RACE
2021-08-24 05:39:22.858,2011,ACS1,DP05,DP05_0064,0500000US06033,4753,,California,Lake County,RACE,Some other race,RACE
2021-08-24 05:39:10.656,2011,ACS1,DP05,DP05_0059,0500000US06033,53594,,California,Lake County,RACE,White,RACE
2021-08-24 05:39:15.350,2011,ACS1,DP05,DP05_0061,0500000US06037,143573,,California,Los Angeles County,RACE,American Indian and Alaska Native,RACE
2021-08-24 05:39:18.440,2011,ACS1,DP05,DP05_0062,0500000US06037,1499840,,California,Los Angeles County,RACE,Asian,RACE
2021-08-24 05:39:13.623,2011,ACS1,DP05,DP05_0060,0500000US06037,932066,,California,Los Angeles County,RACE,Black or African American,RACE
2021-08-24 05:39:20.969,2011,ACS1,DP05,DP05_0063,0500000US06037,50134,,California,Los Angeles County,RACE,Native Hawaiian and Other Pacific Islander,RACE
2021-08-24 05:39:22.858,2011,ACS1,DP05,DP05_0064,0500000US06037,2005009,,California,Los Angeles County,RACE,Some other race,RACE
2021-08-24 05:39:10.656,2011,ACS1,DP05,DP05_0059,0500000US06037,5667322,,California,Los Angeles County,RACE,White,RACE
2021-08-24 05:39:15.350,2011,ACS1,DP05,DP05_0061,0500000US06039,3886,,California,Madera County,RACE,American Indian and Alaska Native,RACE
2021-08-24 05:39:18.440,2011,ACS1,DP05,DP05_0062,0500000US06039,4182,,California,Madera County,RACE,Asian,RACE
2021-08-24 05:39:13.623,2011,ACS1,DP05,DP05_0060,0500000US06039,5694,,California,Madera County,RACE,Black or African American,RACE
2021-08-24 05:39:20.969,2011,ACS1,DP05,DP05_0063,0500000US06039,0,,California,Madera County,RACE,Native Hawaiian and Other Pacific Islander,RACE
2021-08-24 05:39:22.858,2011,ACS1,DP05,DP05_0064,0500000US06039,12941,,California,Madera County,RACE,Some other race,RACE
2021-08-24 05:39:10.656,2011,ACS1,DP05,DP05_0059,0500000US06039,128490,,California,Madera County,RACE,White,RACE
